side to side jumps,0,0,0
bridge raises,0,0,0
half bridge,0,0,0
jump squat,0,1,0
pistol squats,1,1,0
squat kicks,0,0,0
squat pulses,0,1,0
squat thrusts,0,0,0
squats,0,0,0
get ups,1,0,0
knee to elbows,0,0,0
broad jumps,0,1,0
burpees,0,1,0
butt kicks,0,0,0
high knees,0,0,0
hopping lateral lunges,0,0,0
ice skater,0,0,0
jump knee tucks,0,1,0
jumping jacks,0,0,0
jumping lunges,0,1,0
line jumps,0,0,0
mountain climbers,0,1,0
power skips,0,0,0
side to side lunges,0,0,0
single leg burpees,1,1,0
star jumps,0,1,0
stationary sprints,0,1,0
alternating forward lunges,0,0,0
alternating reverse lunges,0,0,0
calf raises,0,0,0
half jacks,0,0,0
lunge step ups,1,0,0
single leg calf raises,1,0,0
wall sits,0,0,0