clapping push ups,0,1,0
plyo push ups,0,1,0
pike push ups,0,1,0
diamond push ups,0,1,0
push ups,0,1,0
wide push ups,0,1,0
forward bend lat row,0,1,1
side to side backfists,0,0,1
single arm lat pull down,1,0,1
single arm lat row,1,0,1
full bridge,0,0,0
back lifts,0,1,0
forward bends,0,0,1
pull up superman,0,0,1
single arm lat sweep,1,0,1
superman hold,0,0,0
swimmers,0,1,0
T superman,0,0,0
V superman,0,0,0
W superman,0,0,0
X push ups,0,1,0
arm scissors,0,0,0
scissor chops,0,0,0
side to side chops,0,0,0
single arm bicep curl,1,0,1
speed bag punches,0,0,0
tricep dips,0,1,0
tricep extensions,0,1,0
forearm palm curls,1,0,1
forearm back curls,1,0,1
forearm side curls,1,0,1
fist squeezes,1,0,1
arm circles,0,0,0
raised arm hold,0,0,0
shoulder taps,0,0,0
shoulder shrugs,1,0,1